tanggal,yearweeknum,komoditas,harga,pasar,kota
2017-07-31,2017-31,Beras Kualitas Bawah I (kg),"9,000",Pasar Rawu,Serang
2017-08-07,2017-32,Beras Kualitas Bawah I (kg),"9,000",Pasar Rawu,Serang
2017-08-14,2017-33,Beras Kualitas Bawah I (kg),"9,000",Pasar Rawu,Serang
2017-08-21,2017-34,Beras Kualitas Bawah I (kg),"9,000",Pasar Rawu,Serang
2017-08-28,2017-35,Beras Kualitas Bawah I (kg),"9,000",Pasar Rawu,Serang
2017-09-04,2017-36,Beras Kualitas Bawah I (kg),"9,200",Pasar Rawu,Serang
2017-09-11,2017-37,Beras Kualitas Bawah I (kg),"9,350",Pasar Rawu,Serang
2017-09-18,2017-38,Beras Kualitas Bawah I (kg),"9,350",Pasar Rawu,Serang
2017-09-25,2017-39,Beras Kualitas Bawah I (kg),"9,350",Pasar Rawu,Serang
2017-10-02,2017-40,Beras Kualitas Bawah I (kg),"9,350",Pasar Rawu,Serang
2017-10-09,2017-41,Beras Kualitas Bawah I (kg),"9,350",Pasar Rawu,Serang
2017-10-16,2017-42,Beras Kualitas Bawah I (kg),"9,350",Pasar Rawu,Serang
2017-10-23,2017-43,Beras Kualitas Bawah I (kg),"9,350",Pasar Rawu,Serang
2017-10-30,2017-44,Beras Kualitas Bawah I (kg),"9,350",Pasar Rawu,Serang
2017-11-06,2017-45,Beras Kualitas Bawah I (kg),"9,350",Pasar Rawu,Serang
2017-11-13,2017-46,Beras Kualitas Bawah I (kg),"9,350",Pasar Rawu,Serang
2017-11-20,2017-47,Beras Kualitas Bawah I (kg),"9,350",Pasar Rawu,Serang
2017-11-27,2017-48,Beras Kualitas Bawah I (kg),"9,350",Pasar Rawu,Serang
2017-12-04,2017-49,Beras Kualitas Bawah I (kg),"9,350",Pasar Rawu,Serang
2017-12-11,2017-50,Beras Kualitas Bawah I (kg),"9,450",Pasar Rawu,Serang
2017-12-18,2017-51,Beras Kualitas Bawah I (kg),"9,950",Pasar Rawu,Serang
2017-12-25,2017-52,Beras Kualitas Bawah I (kg),"10,150",Pasar Rawu,Serang
2018-01-01,2018-1,Beras Kualitas Bawah I (kg),"10,450",Pasar Rawu,Serang
2018-01-08,2018-2,Beras Kualitas Bawah I (kg),"10,500",Pasar Rawu,Serang
2018-01-15,2018-3,Beras Kualitas Bawah I (kg),"10,500",Pasar Rawu,Serang
2018-01-22,2018-4,Beras Kualitas Bawah I (kg),"10,500",Pasar Rawu,Serang
2018-01-29,2018-5,Beras Kualitas Bawah I (kg),"10,400",Pasar Rawu,Serang
2018-02-05,2018-6,Beras Kualitas Bawah I (kg),"10,150",Pasar Rawu,Serang
2018-02-12,2018-7,Beras Kualitas Bawah I (kg),"10,150",Pasar Rawu,Serang
2018-02-19,2018-8,Beras Kualitas Bawah I (kg),"9,900",Pasar Rawu,Serang
2018-02-26,2018-9,Beras Kualitas Bawah I (kg),"9,400",Pasar Rawu,Serang
2018-03-05,2018-10,Beras Kualitas Bawah I (kg),"9,250",Pasar Rawu,Serang
2018-03-12,2018-11,Beras Kualitas Bawah I (kg),"9,250",Pasar Rawu,Serang
2018-03-19,2018-12,Beras Kualitas Bawah I (kg),"9,250",Pasar Rawu,Serang
2018-03-26,2018-13,Beras Kualitas Bawah I (kg),"9,250",Pasar Rawu,Serang
2018-04-02,2018-14,Beras Kualitas Bawah I (kg),"9,250",Pasar Rawu,Serang
2018-04-09,2018-15,Beras Kualitas Bawah I (kg),"9,250",Pasar Rawu,Serang
2018-04-16,2018-16,Beras Kualitas Bawah I (kg),"9,250",Pasar Rawu,Serang
2018-04-23,2018-17,Beras Kualitas Bawah I (kg),"9,050",Pasar Rawu,Serang
2018-04-30,2018-18,Beras Kualitas Bawah I (kg),"8,800",Pasar Rawu,Serang
2018-05-07,2018-19,Beras Kualitas Bawah I (kg),"8,750",Pasar Rawu,Serang
2018-05-14,2018-20,Beras Kualitas Bawah I (kg),"8,750",Pasar Rawu,Serang
2018-05-21,2018-21,Beras Kualitas Bawah I (kg),"8,750",Pasar Rawu,Serang
2018-05-28,2018-22,Beras Kualitas Bawah I (kg),"8,750",Pasar Rawu,Serang
2018-06-04,2018-23,Beras Kualitas Bawah I (kg),"8,750",Pasar Rawu,Serang
2018-06-11,2018-24,Beras Kualitas Bawah I (kg),"8,750",Pasar Rawu,Serang
2018-06-18,2018-25,Beras Kualitas Bawah I (kg),"8,750",Pasar Rawu,Serang
2018-06-25,2018-26,Beras Kualitas Bawah I (kg),"8,750",Pasar Rawu,Serang
2018-07-02,2018-27,Beras Kualitas Bawah I (kg),"8,750",Pasar Rawu,Serang
2018-07-09,2018-28,Beras Kualitas Bawah I (kg),"8,450",Pasar Rawu,Serang
2018-07-16,2018-29,Beras Kualitas Bawah I (kg),"8,000",Pasar Rawu,Serang
2018-07-23,2018-30,Beras Kualitas Bawah I (kg),"8,000",Pasar Rawu,Serang
2018-07-30,2018-31,Beras Kualitas Bawah I (kg),"8,000",Pasar Rawu,Serang
2018-08-06,2018-32,Beras Kualitas Bawah I (kg),"8,000",Pasar Rawu,Serang
2018-08-13,2018-33,Beras Kualitas Bawah I (kg),"8,400",Pasar Rawu,Serang
2018-08-20,2018-34,Beras Kualitas Bawah I (kg),"8,650",Pasar Rawu,Serang
2018-08-27,2018-35,Beras Kualitas Bawah I (kg),"8,750",Pasar Rawu,Serang
2018-09-03,2018-36,Beras Kualitas Bawah I (kg),"8,750",Pasar Rawu,Serang
2018-09-10,2018-37,Beras Kualitas Bawah I (kg),"9,000",Pasar Rawu,Serang
2018-09-17,2018-38,Beras Kualitas Bawah I (kg),"9,000",Pasar Rawu,Serang
2018-09-24,2018-39,Beras Kualitas Bawah I (kg),"9,000",Pasar Rawu,Serang
2018-10-01,2018-40,Beras Kualitas Bawah I (kg),"9,000",Pasar Rawu,Serang
2018-10-08,2018-41,Beras Kualitas Bawah I (kg),"9,000",Pasar Rawu,Serang
2018-10-15,2018-42,Beras Kualitas Bawah I (kg),"9,000",Pasar Rawu,Serang
2018-10-22,2018-43,Beras Kualitas Bawah I (kg),"9,000",Pasar Rawu,Serang
2018-10-29,2018-44,Beras Kualitas Bawah I (kg),"9,000",Pasar Rawu,Serang
2018-11-05,2018-45,Beras Kualitas Bawah I (kg),"9,000",Pasar Rawu,Serang
2018-11-12,2018-46,Beras Kualitas Bawah I (kg),"9,000",Pasar Rawu,Serang
2018-11-19,2018-47,Beras Kualitas Bawah I (kg),"9,000",Pasar Rawu,Serang
2018-11-26,2018-48,Beras Kualitas Bawah I (kg),"9,000",Pasar Rawu,Serang
2018-12-03,2018-49,Beras Kualitas Bawah I (kg),"8,700",Pasar Rawu,Serang
2018-12-10,2018-50,Beras Kualitas Bawah I (kg),"8,500",Pasar Rawu,Serang
2018-12-17,2018-51,Beras Kualitas Bawah I (kg),"8,500",Pasar Rawu,Serang
2018-12-24,2018-52,Beras Kualitas Bawah I (kg),"8,500",Pasar Rawu,Serang
2018-12-31,2019-1,Beras Kualitas Bawah I (kg),"8,500",Pasar Rawu,Serang
2019-01-07,2019-2,Beras Kualitas Bawah I (kg),"8,500",Pasar Rawu,Serang
2019-01-14,2019-3,Beras Kualitas Bawah I (kg),"8,500",Pasar Rawu,Serang
2019-01-21,2019-4,Beras Kualitas Bawah I (kg),"8,500",Pasar Rawu,Serang
2019-01-28,2019-5,Beras Kualitas Bawah I (kg),"8,450",Pasar Rawu,Serang
2019-02-04,2019-6,Beras Kualitas Bawah I (kg),"8,250",Pasar Rawu,Serang
2019-02-11,2019-7,Beras Kualitas Bawah I (kg),"8,250",Pasar Rawu,Serang
2019-02-18,2019-8,Beras Kualitas Bawah I (kg),"8,250",Pasar Rawu,Serang
2019-02-25,2019-9,Beras Kualitas Bawah I (kg),"8,250",Pasar Rawu,Serang
2019-03-04,2019-10,Beras Kualitas Bawah I (kg),"8,250",Pasar Rawu,Serang
2019-03-11,2019-11,Beras Kualitas Bawah I (kg),"8,250",Pasar Rawu,Serang
2019-03-18,2019-12,Beras Kualitas Bawah I (kg),"8,250",Pasar Rawu,Serang
2019-03-25,2019-13,Beras Kualitas Bawah I (kg),"8,250",Pasar Rawu,Serang
2019-04-01,2019-14,Beras Kualitas Bawah I (kg),"8,250",Pasar Rawu,Serang
2019-04-08,2019-15,Beras Kualitas Bawah I (kg),"8,250",Pasar Rawu,Serang
2019-04-15,2019-16,Beras Kualitas Bawah I (kg),"8,250",Pasar Rawu,Serang
2019-04-22,2019-17,Beras Kualitas Bawah I (kg),"8,250",Pasar Rawu,Serang
2019-04-29,2019-18,Beras Kualitas Bawah I (kg),"8,250",Pasar Rawu,Serang
2019-05-06,2019-19,Beras Kualitas Bawah I (kg),"8,250",Pasar Rawu,Serang
2019-05-13,2019-20,Beras Kualitas Bawah I (kg),"8,250",Pasar Rawu,Serang
2019-05-20,2019-21,Beras Kualitas Bawah I (kg),"8,250",Pasar Rawu,Serang
2019-05-27,2019-22,Beras Kualitas Bawah I (kg),"8,250",Pasar Rawu,Serang
2019-06-03,2019-23,Beras Kualitas Bawah I (kg),"8,250",Pasar Rawu,Serang
2019-06-10,2019-24,Beras Kualitas Bawah I (kg),"8,250",Pasar Rawu,Serang
2019-06-17,2019-25,Beras Kualitas Bawah I (kg),"8,250",Pasar Rawu,Serang
2019-06-24,2019-26,Beras Kualitas Bawah I (kg),"8,250",Pasar Rawu,Serang
2019-07-01,2019-27,Beras Kualitas Bawah I (kg),"8,250",Pasar Rawu,Serang
2019-07-08,2019-28,Beras Kualitas Bawah I (kg),"8,250",Pasar Rawu,Serang
2019-07-15,2019-29,Beras Kualitas Bawah I (kg),"8,250",Pasar Rawu,Serang
2019-07-22,2019-30,Beras Kualitas Bawah I (kg),"8,250",Pasar Rawu,Serang
2019-07-29,2019-31,Beras Kualitas Bawah I (kg),"8,250",Pasar Rawu,Serang
2019-08-05,2019-32,Beras Kualitas Bawah I (kg),"8,250",Pasar Rawu,Serang
2019-08-12,2019-33,Beras Kualitas Bawah I (kg),"8,250",Pasar Rawu,Serang
2019-08-19,2019-34,Beras Kualitas Bawah I (kg),"8,250",Pasar Rawu,Serang
2019-08-26,2019-35,Beras Kualitas Bawah I (kg),"8,250",Pasar Rawu,Serang
2019-09-02,2019-36,Beras Kualitas Bawah I (kg),"8,250",Pasar Rawu,Serang
2019-09-09,2019-37,Beras Kualitas Bawah I (kg),"8,250",Pasar Rawu,Serang
2019-09-16,2019-38,Beras Kualitas Bawah I (kg),"8,250",Pasar Rawu,Serang
2019-09-23,2019-39,Beras Kualitas Bawah I (kg),"8,250",Pasar Rawu,Serang
2019-09-30,2019-40,Beras Kualitas Bawah I (kg),"8,250",Pasar Rawu,Serang
2019-10-07,2019-41,Beras Kualitas Bawah I (kg),"8,250",Pasar Rawu,Serang
2019-10-14,2019-42,Beras Kualitas Bawah I (kg),"8,250",Pasar Rawu,Serang
2019-10-21,2019-43,Beras Kualitas Bawah I (kg),"8,250",Pasar Rawu,Serang
2019-10-28,2019-44,Beras Kualitas Bawah I (kg),"8,250",Pasar Rawu,Serang
2019-11-04,2019-45,Beras Kualitas Bawah I (kg),"8,250",Pasar Rawu,Serang
2019-11-11,2019-46,Beras Kualitas Bawah I (kg),"8,250",Pasar Rawu,Serang
2019-11-18,2019-47,Beras Kualitas Bawah I (kg),"8,250",Pasar Rawu,Serang
2019-11-25,2019-48,Beras Kualitas Bawah I (kg),"8,250",Pasar Rawu,Serang
2019-12-02,2019-49,Beras Kualitas Bawah I (kg),"8,250",Pasar Rawu,Serang
2019-12-09,2019-50,Beras Kualitas Bawah I (kg),"8,250",Pasar Rawu,Serang
2019-12-16,2019-51,Beras Kualitas Bawah I (kg),"8,250",Pasar Rawu,Serang
2019-12-23,2019-52,Beras Kualitas Bawah I (kg),"8,250",Pasar Rawu,Serang
2019-12-30,2020-1,Beras Kualitas Bawah I (kg),"8,250",Pasar Rawu,Serang
2020-01-06,2020-2,Beras Kualitas Bawah I (kg),"8,500",Pasar Rawu,Serang
2020-01-13,2020-3,Beras Kualitas Bawah I (kg),"8,500",Pasar Rawu,Serang
2020-01-20,2020-4,Beras Kualitas Bawah I (kg),"8,500",Pasar Rawu,Serang
2020-01-27,2020-5,Beras Kualitas Bawah I (kg),"8,500",Pasar Rawu,Serang
2020-02-03,2020-6,Beras Kualitas Bawah I (kg),"8,500",Pasar Rawu,Serang
2020-02-10,2020-7,Beras Kualitas Bawah I (kg),"8,500",Pasar Rawu,Serang
2020-02-17,2020-8,Beras Kualitas Bawah I (kg),"8,500",Pasar Rawu,Serang
2020-02-24,2020-9,Beras Kualitas Bawah I (kg),"8,500",Pasar Rawu,Serang
2020-03-02,2020-10,Beras Kualitas Bawah I (kg),"8,500",Pasar Rawu,Serang
2020-03-09,2020-11,Beras Kualitas Bawah I (kg),"8,500",Pasar Rawu,Serang
2020-03-16,2020-12,Beras Kualitas Bawah I (kg),"8,500",Pasar Rawu,Serang
2020-03-23,2020-13,Beras Kualitas Bawah I (kg),"8,500",Pasar Rawu,Serang
2020-03-30,2020-14,Beras Kualitas Bawah I (kg),"8,500",Pasar Rawu,Serang
2020-04-06,2020-15,Beras Kualitas Bawah I (kg),"8,500",Pasar Rawu,Serang
2020-04-13,2020-16,Beras Kualitas Bawah I (kg),"8,500",Pasar Rawu,Serang
2020-04-20,2020-17,Beras Kualitas Bawah I (kg),"8,500",Pasar Rawu,Serang
2020-04-27,2020-18,Beras Kualitas Bawah I (kg),"8,500",Pasar Rawu,Serang
2020-05-04,2020-19,Beras Kualitas Bawah I (kg),"8,500",Pasar Rawu,Serang
2020-05-11,2020-20,Beras Kualitas Bawah I (kg),"8,500",Pasar Rawu,Serang
2020-05-18,2020-21,Beras Kualitas Bawah I (kg),"8,500",Pasar Rawu,Serang
2020-05-25,2020-22,Beras Kualitas Bawah I (kg),"8,500",Pasar Rawu,Serang
2020-06-01,2020-23,Beras Kualitas Bawah I (kg),"8,500",Pasar Rawu,Serang
2020-06-08,2020-24,Beras Kualitas Bawah I (kg),"8,500",Pasar Rawu,Serang
2020-06-15,2020-25,Beras Kualitas Bawah I (kg),"8,500",Pasar Rawu,Serang
2020-06-22,2020-26,Beras Kualitas Bawah I (kg),"8,500",Pasar Rawu,Serang
2020-06-29,2020-27,Beras Kualitas Bawah I (kg),"8,500",Pasar Rawu,Serang
2020-07-06,2020-28,Beras Kualitas Bawah I (kg),"8,500",Pasar Rawu,Serang
2020-07-13,2020-29,Beras Kualitas Bawah I (kg),"8,250",Pasar Rawu,Serang
2020-07-20,2020-30,Beras Kualitas Bawah I (kg),"8,000",Pasar Rawu,Serang
2020-07-27,2020-31,Beras Kualitas Bawah I (kg),"8,000",Pasar Rawu,Serang
2020-08-03,2020-32,Beras Kualitas Bawah I (kg),"8,000",Pasar Rawu,Serang
2020-08-10,2020-33,Beras Kualitas Bawah I (kg),"8,000",Pasar Rawu,Serang
2020-08-17,2020-34,Beras Kualitas Bawah I (kg),"8,000",Pasar Rawu,Serang
2020-08-24,2020-35,Beras Kualitas Bawah I (kg),"8,000",Pasar Rawu,Serang
2020-08-31,2020-36,Beras Kualitas Bawah I (kg),"8,000",Pasar Rawu,Serang
2020-09-07,2020-37,Beras Kualitas Bawah I (kg),"8,000",Pasar Rawu,Serang
2020-09-14,2020-38,Beras Kualitas Bawah I (kg),"8,000",Pasar Rawu,Serang
2020-09-21,2020-39,Beras Kualitas Bawah I (kg),"8,000",Pasar Rawu,Serang
2020-09-28,2020-40,Beras Kualitas Bawah I (kg),"8,000",Pasar Rawu,Serang
2020-10-05,2020-41,Beras Kualitas Bawah I (kg),"8,000",Pasar Rawu,Serang
