tanggal,Tn,Tx,Tavg,RH_avg,RR,ss,ff_x,ddd_x,kota
2017-08-01,23.2,32.8,27.5,77,0,6.4,3,80,Serang
2017-08-02,23.2,,27.2,77,0,8.9,4,340,Serang
2017-08-03,23,33,27.5,78,0,8.5,3,20,Serang
2017-08-04,22.8,32.8,26.9,82,,9.9,3,10,Serang
2017-08-05,21.8,32,26.4,80,,5,2,130,Serang
2017-08-06,23,32.4,27.1,80,0,6,4,360,Serang
2017-08-07,22.8,33,27.3,79,0,7.7,4,30,Serang
2017-08-08,23.2,33.4,27.8,79,0,8.7,3,20,Serang
2017-08-09,24.4,32.8,28.1,80,,8.2,4,10,Serang
2017-08-10,23.6,33.4,27.6,76,,4.5,4,20,Serang
2017-08-11,23.2,33.4,27.8,80,0,8.5,4,350,Serang
2017-08-12,23.8,31.4,27.7,79,0,7.8,3,360,Serang
2017-08-13,24,32.6,27.3,86,15.1,0.6,3,360,Serang
2017-08-14,23.8,,27.5,79,,2.5,3,10,Serang
2017-08-15,23.2,32,26.1,86,,5,3,290,Serang
2017-08-16,23.2,31.2,27.3,80,3,5.4,3,30,Serang
2017-08-17,23,32.2,27,78,0,2,3,20,Serang
2017-08-18,23.2,32.6,27.7,77,0,8.7,4,30,Serang
2017-08-19,24.4,33,28.3,77,,4.5,3,40,Serang
2017-08-20,25.6,33.6,28.8,77,,3.1,3,360,Serang
2017-08-21,24.6,32.2,28.2,76,0,7.8,5,30,Serang
2017-08-22,24,32.6,27.8,74,0,7,3,310,Serang
2017-08-23,23,32.2,27.2,76,,6.2,3,40,Serang
2017-08-24,23.8,33.2,28.2,76,,4.3,3,360,Serang
2017-08-25,23.2,32.8,27.8,76,,5.5,4,70,Serang
2017-08-26,23.4,34,28.2,70,0,6.1,6,40,Serang
2017-08-27,22.2,33.2,27.6,69,0,5.6,6,20,Serang
2017-08-28,22.4,,27.6,74,0,10.5,3,130,Serang
2017-08-29,23.4,32.2,26.7,80,0,4,3,350,Serang
2017-08-30,22,32.6,26.6,80,,1,4,20,Serang
2017-08-31,22.2,32.8,27.9,79,,0,4,20,Serang
2017-09-01,25,31.4,28,79,0,5.2,3,360,Serang
2017-09-02,22.6,33,27.4,76,,0.8,4,10,Serang
2017-09-03,23.6,33.4,27.4,77,,5.5,4,20,Serang
2017-09-04,23.2,33.4,27.9,77,,8.5,4,10,Serang
2017-09-05,24,32,27.8,78,0,9.7,3,300,Serang
2017-09-06,24,31.4,25.4,89,,0.3,3,340,Serang
2017-09-07,23.4,33.4,27.4,79,11.8,1,5,30,Serang
2017-09-08,24,,27.9,74,,9.8,4,40,Serang
2017-09-09,23.2,33.4,28.1,78,,8.5,3,350,Serang
2017-09-10,24,34.2,29,73,0,8.8,3,320,Serang
2017-09-11,24.2,32.8,28.3,78,,8,3,350,Serang
2017-09-12,23.4,32.8,27.6,78,0,6.3,3,350,Serang
2017-09-13,22.8,33.8,27.3,76,,3,3,20,Serang
2017-09-14,22.8,32.8,27.4,79,,7.5,4,10,Serang
2017-09-15,24,33.8,28.1,76,0,8.2,4,10,Serang
2017-09-16,24,33.4,28,77,0,9,4,360,Serang
2017-09-17,23.8,34.8,28.5,75,0,6,4,20,Serang
2017-09-18,24,34.6,28.4,75,,7.2,5,30,Serang
2017-09-19,23.2,33,27.7,80,,10,3,30,Serang
2017-09-20,24.2,32,27.9,78,,5.1,4,40,Serang
2017-09-21,21.3,32.6,26.7,77,0,2.8,4,10,Serang
2017-09-22,21.8,35.2,27.7,70,0,9.3,4,350,Serang
2017-09-23,,34.8,27.9,75,,,5,340,Serang
2017-09-24,23.2,32.8,27.4,78,,8.5,3,320,Serang
2017-09-25,24.2,34,28.4,78,,0.3,3,360,Serang
2017-09-26,24.4,33.2,28.5,79,,5.2,3,100,Serang
2017-09-27,23.8,,25.1,94,15.4,0,2,160,Serang
2017-09-28,24,33.4,27.5,84,19.2,0,3,170,Serang
2017-09-29,,33.2,28,82,,4,5,20,Serang
2017-09-30,24,33.4,28.1,81,1.1,9,3,10,Serang
2017-10-01,24.6,33.8,28.3,77,,5.4,4,270,Serang
2017-10-02,23.8,33.6,26.8,85,,7.2,4,310,Serang
2017-10-03,23.2,33.6,26.7,86,5.7,2,5,210,Serang
2017-10-04,22.8,33.4,27.8,81,11.6,4,4,10,Serang
2017-10-05,23.8,33.2,28.8,78,0,8.5,5,30,Serang
2017-10-06,25.2,33,28.8,80,0,8.9,6,20,Serang
2017-10-07,24,34.8,28.6,78,0,9,3,310,Serang
2017-10-08,24.4,33.4,28.3,79,6.1,7.8,5,10,Serang
2017-10-09,24.6,32.2,27.5,84,,8.5,3,10,Serang
2017-10-10,24.6,30.8,25.9,90,2.3,2.1,2,10,Serang
2017-10-11,23.8,34.2,28.1,80,37.4,0.8,3,10,Serang
2017-10-12,23.8,32.6,26.5,87,0,8,3,20,Serang
2017-10-13,22.4,33.4,27.1,83,15.5,2.7,3,30,Serang
2017-10-14,25,34.8,29.1,72,3.7,6.5,4,40,Serang
2017-10-15,24,34.2,29,74,0,7,3,10,Serang
2017-10-16,24,33.8,28.3,76,0,6.6,3,10,Serang
2017-10-17,24.2,33.6,29.2,73,0,6.8,4,20,Serang
2017-10-18,26,33.4,28.2,84,0,7.8,4,30,Serang
2017-10-19,25,32.8,27.6,83,7.6,0,4,30,Serang
2017-10-20,24.8,33,28.2,82,2,3.2,2,140,Serang
2017-10-21,24.8,34.6,28.7,78,,6.2,3,90,Serang
2017-10-22,24.4,32.2,28.1,85,0,6.5,3,50,Serang
2017-10-23,,31.6,28.4,85,10.7,6,2,300,Serang
2017-10-24,24,34.4,28.9,74,6.2,4.1,3,250,Serang
2017-10-25,23,34.4,28.3,77,0,11,4,290,Serang
2017-10-26,,33.8,29.4,72,,10.4,4,260,Serang
2017-10-27,23.8,33.2,28,77,0,10.5,4,110,Serang
2017-10-28,25,32.6,28.4,80,1.5,4,3,300,Serang
2017-10-29,25.4,32.2,27,87,1,3,2,30,Serang
2017-10-30,23.4,34.6,28.1,78,1,2,5,20,Serang
2017-10-31,24.2,33.2,28.8,77,,10,3,250,Serang
2017-11-01,23.6,34.8,28.6,74,0,1.5,2,70,Serang
2017-11-02,23.6,33.4,28.7,76,,10,3,260,Serang
2017-11-03,24.4,34,28.9,76,0,4.8,3,280,Serang
2017-11-04,24.2,34.2,27.4,84,0.6,6,4,220,Serang
2017-11-05,23.8,33.2,27.9,82,4.2,4.8,3,40,Serang
2017-11-06,24.6,34.4,28.8,81,,4.4,4,30,Serang
2017-11-07,24,30.2,27.5,84,3.2,5.6,3,40,Serang
2017-11-08,23.8,33.8,28.3,83,0.5,0,3,350,Serang
2017-11-09,24.8,33.6,26.7,87,,7,3,310,Serang
2017-11-10,25,32.8,27,87,5.2,2.4,2,350,Serang
2017-11-11,23.6,36.2,28.7,81,0.2,3.2,5,260,Serang
2017-11-12,25.4,34.8,29.9,75,,1.4,3,250,Serang
2017-11-13,24.4,33,29,75,0.3,7.3,2,150,Serang
2017-11-14,24,33.8,28.4,80,3.8,2.5,3,100,Serang
2017-11-15,23.8,33.4,27.5,83,8.5,6.2,2,290,Serang
2017-11-16,24.6,33.2,26.1,92,0,1.4,3,20,Serang
2017-11-17,23.8,31.2,27.2,88,39.8,2.3,3,280,Serang
2017-11-18,23.8,32.6,26.9,86,,3.8,4,30,Serang
2017-11-19,24,33,27.7,83,18.2,4,4,90,Serang
2017-11-20,23.6,33.6,28.4,78,,2.8,4,240,Serang
2017-11-21,22.2,33.8,27.3,81,0,7.8,4,250,Serang
2017-11-22,24.1,34.2,28.9,77,,2.2,4,270,Serang
2017-11-23,23.4,33.4,29.3,75,,5,4,270,Serang
2017-11-24,25,33.6,29.3,70,,9.8,4,260,Serang
2017-11-25,25.2,31.6,27.5,81,0,10.1,4,250,Serang
2017-11-26,25,31.6,26.6,88,20.9,2.5,3,230,Serang
2017-11-27,25,27,25.9,89,27.8,0.9,4,250,Serang
2017-11-28,24,27.2,26.2,88,17.2,,7,240,Serang
2017-11-29,24.8,33.2,28.6,79,2,0,3,250,Serang
2017-11-30,24.2,32,25.7,86,1.1,2.5,6,290,Serang
2017-12-01,23.6,32,27.5,75,78.5,0.3,5,260,Serang
2017-12-02,25.4,31.2,28,75,,1.1,4,230,Serang
2017-12-03,25,32,27.3,83,,3,6,210,Serang
2017-12-04,24.6,32.2,26.5,88,19.9,5,5,260,Serang
2017-12-05,24.4,31.6,27.8,75,1,4,3,270,Serang
2017-12-06,23.6,33.6,29.9,69,0,0,3,260,Serang
2017-12-07,23.8,33.8,28.6,75,,9.1,4,280,Serang
2017-12-08,22.8,31.4,28.5,79,0,9.8,3,250,Serang
2017-12-09,26.2,32.6,28.6,80,2.9,3,4,240,Serang
2017-12-10,25.2,31.8,27.9,80,4,6.5,4,240,Serang
2017-12-11,,31,27.7,83,,,3,260,Serang
2017-12-12,25.2,31,27.3,83,1.8,0.3,6,230,Serang
2017-12-13,24.6,29.8,26.5,86,1.3,0.5,4,240,Serang
2017-12-14,24.2,30.4,26.3,85,0.4,1.5,3,240,Serang
2017-12-15,24,32.4,27.8,78,1.2,0.1,3,250,Serang
2017-12-16,24.2,31,26.5,85,,4.3,4,310,Serang
2017-12-17,23.8,31.4,25.9,90,2,1,4,250,Serang
2017-12-18,23.6,32.6,27.6,83,15.7,0.7,5,330,Serang
2017-12-19,24.2,32.2,28,78,42.5,5.5,3,310,Serang
2017-12-20,24,29,26.6,87,7.4,4.2,4,300,Serang
2017-12-21,24.9,28.4,26,89,3.5,0,4,270,Serang
2017-12-22,24.2,30.8,26.3,87,26.4,0,4,240,Serang
2017-12-23,24,29.2,26.6,82,1.8,2.5,4,260,Serang
2017-12-24,24.2,33.2,28.7,73,,0,4,290,Serang
2017-12-25,24.6,33.4,28.4,73,0,5.2,4,260,Serang
2017-12-26,23.8,32.4,27.4,80,,10,4,270,Serang
2017-12-27,24.8,32,27.8,78,,6.7,4,210,Serang
2017-12-28,24.2,32.8,28.5,75,0,2.4,4,260,Serang
2017-12-29,23.4,33,27.2,83,0,4.5,3,340,Serang
2017-12-30,23.4,33,27.2,86,6.3,1.9,3,340,Serang
2017-12-31,24.4,33.6,28.1,80,23.5,0.7,3,240,Serang
2018-01-01,24.6,33.2,28.1,80,0,5.2,5,260,Serang
2018-01-02,25.8,33.6,29,75,,10.3,4,240,Serang
2018-01-03,24,32.8,27,85,,8,3,280,Serang
2018-01-04,24.6,30.6,27.2,83,7.6,4.3,4,320,Serang
2018-01-05,24,30.4,26.3,82,,0.8,4,260,Serang
2018-01-06,23.6,31.8,26.7,83,12.6,0.5,4,250,Serang
2018-01-07,24,,26.9,84,1.3,0,2,260,Serang
2018-01-08,23.6,33.2,27.9,81,,0,3,330,Serang
2018-01-09,24.6,31.4,,,0,2.2,3,30,Serang
2018-01-10,23.8,33.6,27.7,76,3,,4,310,Serang
2018-01-11,23.8,31.2,27,80,,8.5,5,260,Serang
2018-01-12,24.8,32.6,28.2,71,,0,4,260,Serang
2018-01-13,23,32,28.2,72,,1,4,290,Serang
2018-01-14,23.4,32.4,27.1,84,8.3,2.4,5,240,Serang
2018-01-15,22.8,30.6,25.8,87,12.6,7,4,280,Serang
2018-01-16,22.6,30.6,25.7,83,9.5,2.2,4,280,Serang
2018-01-17,23.4,31.2,27,83,0.2,1,3,240,Serang
2018-01-18,24.8,,26.2,91,,0.5,4,250,Serang
2018-01-19,24.4,28.6,25.1,90,40.4,0,6,250,Serang
2018-01-20,23.4,29.5,25.2,88,9.7,0,5,250,Serang
2018-01-21,23,31.8,28,77,3,0,6,280,Serang
2018-01-22,25,29,26,87,0.2,,4,240,Serang
2018-01-23,26,32,28,80,1.7,0.7,3,40,Serang
2018-01-24,,33.2,28.1,79,,6.5,6,260,Serang
2018-01-25,24.2,30.2,26.7,82,0.9,7.4,4,230,Serang
2018-01-26,24.2,31.4,27.2,81,6,0.2,5,260,Serang
2018-01-27,25,32.8,28.3,75,9,0.5,8,280,Serang
2018-01-28,24.8,28,27.1,78,1,2.7,5,280,Serang
2018-01-29,23.2,30.4,26.2,85,6.6,0.2,5,280,Serang
2018-01-30,24.4,31.6,26.5,85,7.5,1.5,5,270,Serang
2018-01-31,24,33.6,28,79,0.8,5.6,4,260,Serang
2018-02-01,25.2,33.4,28.6,79,,7.6,4,210,Serang
2018-02-02,26.2,32.6,28.3,81,12,5.5,5,290,Serang
2018-02-03,25.6,33,28.6,77,0,8.8,4,300,Serang
2018-02-04,24.8,32.4,27.7,85,4.9,4.5,4,320,Serang
2018-02-05,24,31.4,26.7,84,11.4,7.4,4,310,Serang
2018-02-06,24.6,34.2,26.2,89,8.6,2.8,3,170,Serang
2018-02-07,23.4,31.6,26.6,83,25.4,2,4,240,Serang
2018-02-08,23.4,33.4,27.6,81,0.4,3.7,3,310,Serang
2018-02-09,24.4,32.2,27,84,1.2,3,3,320,Serang
2018-02-10,24.2,32.4,27.6,82,7.6,7.5,3,320,Serang
2018-02-11,25.8,32.2,27.8,82,4,7.4,3,310,Serang
2018-02-12,24.2,31.6,27.3,83,,4,4,300,Serang
2018-02-13,24.8,33.6,28.2,75,,4.6,4,300,Serang
2018-02-14,25,32.6,27.8,83,2.4,7.1,4,320,Serang
2018-02-15,24,28.2,25.3,93,18,3.5,3,310,Serang
2018-02-16,24,32,27.8,78,9,0,6,270,Serang
2018-02-17,23.4,31,27.8,80,0,10,4,260,Serang
2018-02-18,23.6,31.8,26.7,87,22.4,3,3,340,Serang
2018-02-19,23,30.6,27.2,87,1.9,6.7,3,260,Serang
2018-02-20,24,32,27.5,82,,3,4,310,Serang
2018-02-21,24.2,33,27.6,82,,7.2,6,320,Serang
2018-02-22,24.4,30.6,27.2,85,0,7.5,3,260,Serang
