"","yearweeknum","tanggal","harga","Tn","Tx","Tavg","RH_avg","RR","ss","ff_x","ddd_x"
"1","2017-31",2017-07-31,9125,21.8,33,27.1,79,11.5403,44.7,4,156.666666666667
"2","2017-32",2017-08-07,9125,22.8,33.4,27.6571428571429,79.8571428571429,21.3604333333333,46,4,164.285714285714
"3","2017-33",2017-08-14,9125,23,33.6,27.5285714285714,79.1428571428571,42.0137166666667,31.2,4,111.428571428571
"4","2017-34",2017-08-21,9125,22.2,34,27.8571428571429,73.8571428571429,12.3525166666667,42.5,6,124.285714285714
"5","2017-35",2017-08-28,9125,22,33.4,27.3714285714286,77.8571428571429,46.22195,27,4,130
"6","2017-36",2017-09-04,9250,23.2,34.2,27.6428571428571,78.2857142857143,25.8516166666667,46.6,5,198.571428571429
"7","2017-37",2017-09-11,9350,22.8,34.8,27.8857142857143,77,7.32955,48,4,160
"8","2017-38",2017-09-18,9350,21.3,35.2,27.6714285714286,76.1428571428571,11.9948833333333,50.02005,5,160
"9","2017-39",2017-09-25,9350,23.7228333333333,34,27.7,82.1428571428571,71.0681666666667,23.9,5,155.714285714286
"10","2017-40",2017-10-02,9350,22.8,34.8,27.9714285714286,81,31.67505,47.4,6,128.571428571429
"11","2017-41",2017-10-09,9350,22.4,34.8,27.6,81.4285714285714,61.9090333333333,35.6,4,18.5714285714286
"12","2017-42",2017-10-16,9350,24,34.6,28.3285714285714,80.1428571428571,11.1090833333333,37.1,4,52.8571428571429
"13","2017-43",2017-10-23,9350,23,34.4,28.3428571428571,78.8571428571429,20.1325333333333,49,4,220
"14","2017-44",2017-10-30,9350,23.4,34.8,28.3428571428571,78.1428571428571,6.7331,39.1,5,162.857142857143
"15","2017-45",2017-11-06,9350,23.6,36.2,28.1285714285714,82.5714285714286,25.8205333333333,24,5,227.142857142857
"16","2017-46",2017-11-13,9350,23.8,33.8,27.5428571428571,83.8571428571429,83.104,27.5,4,137.142857142857
"17","2017-47",2017-11-20,9350,22.2,34.2,28.1857142857143,78.5714285714286,39.6733166666667,40.2,4,252.857142857143
"18","2017-48",2017-11-27,9350,23.6,33.2,27.0285714285714,82.1428571428571,146.0738,10.0333,7,247.142857142857
"19","2017-49",2017-12-04,9350,22.8,33.8,28.2571428571429,78,27.9545,37.4,5,257.142857142857
"20","2017-50",2017-12-11,9400,23.8,32.4,26.8571428571429,84.2857142857143,22.1752666666667,11.7209,6,254.285714285714
"21","2017-51",2017-12-18,9925,23.6,33.2,27.1142857142857,82.7142857142857,102.469183333333,12.9,5,285.714285714286
"22","2017-52",2017-12-25,10200,23.4,33.6,27.8,79.2857142857143,37.2311833333333,31.4,4,274.285714285714
"23","2018-1",2018-01-01,10400,23.6,33.6,27.3142857142857,81.7142857142857,34.5407166666667,29.1,5,267.142857142857
"24","2018-2",2018-01-08,10550,23,33.6,27.6735428571429,77.6624523809524,36.0790166666667,20.5650666666667,5,245.714285714286
"25","2018-3",2018-01-15,10825,22.6,31.8,26.1428571428571,85.5714285714286,86.3639166666667,10.7,6,261.428571428571
"26","2018-4",2018-01-22,10825,24.1828333333333,33.2,27.3428571428571,80.2857142857143,20.56415,20.1923333333333,8,227.142857142857
"27","2018-5",2018-01-29,10775,23.2,33.6,27.7,81.5714285714286,33.8884333333333,33.7,5,275.714285714286
"28","2018-6",2018-02-05,10650,23.4,34.2,27.0714285714286,83.5714285714286,58.6,33.8,4,282.857142857143
"29","2018-7",2018-02-12,10450,23.4,33.6,27.2714285714286,82.7142857142857,62.8045,32.2,6,300
"30","2018-8",2018-02-19,10200,23,33,27.4142857142857,83.8571428571429,30.3937666666667,40.9,6,214.285714285714
"31","2018-9",2018-02-26,9750,23.4,34.6,27.1571428571429,85.8571428571429,50.9215833333333,32.7,11,287.142857142857
"32","2018-10",2018-03-05,9625,22.4,33.4,27.3428571428571,83.4285714285714,81.7636833333333,32.5625833333333,6,230
"33","2018-11",2018-03-12,9625,23.2,35.6,27.2428571428571,84.8571428571429,79.8013166666667,34.4,5,178.571428571429
"34","2018-12",2018-03-19,9625,23,33.6,26.8428571428571,85.7142857142857,78.1139166666667,32.7,4,192.857142857143
"35","2018-13",2018-03-26,9625,22.6,35,27.6,80.5714285714286,10.1334833333333,46.0665833333333,5,265.714285714286
"36","2018-14",2018-04-02,9625,22.2,34.2,27.8285714285714,83.7142857142857,24,55.9484833333333,6,140
"37","2018-15",2018-04-09,9625,23,33.8,28.1285714285714,83.2857142857143,16.3,54.6,5,28.5714285714286
"38","2018-16",2018-04-16,9625,23.4,34.4,28.1,83.5714285714286,19.6798333333333,47.2,4,72.8571428571429
"39","2018-17",2018-04-23,9525,22.8,33.6560777777778,26.8285714285714,87.7142857142857,96.4,26.12945,5,138.571428571429
"40","2018-18",2018-04-30,9400,23.8,34,28.0571428571429,80.5714285714286,6.6959,55.9,4,18.5714285714286
"41","2018-19",2018-05-07,9375,23.8,34.4,28.6428571428571,78.1428571428571,5.8,62.9,4,65.7142857142857
"42","2018-20",2018-05-14,9375,23,34.6,27.6142857142857,84.7142857142857,23.2,29.3,4,25.7142857142857
"43","2018-21",2018-05-21,9375,24,33.4,27.7285714285714,85.8571428571429,52.2650666666667,29.9,7,92.8571428571429
"44","2018-22",2018-05-28,9375,22.2,34.4,27.9428571428571,80.5714285714286,40.3087666666667,48.7,7,138.571428571429
"45","2018-23",2018-06-04,9325,23.6,34.4,27.9714285714286,85.1428571428571,8.74355,29.8,3,108.571428571429
"46","2018-24",2018-06-11,9250,23.8,34.2,27.9571428571429,82,35.4,41.8,6,115.714285714286
"47","2018-25",2018-06-18,9250,22.8,34.2,27.7142857142857,82,62.708,46.6,5,74.2857142857143
"48","2018-26",2018-06-25,9250,22,32.6,26.4571428571429,85.1428571428571,67.8016833333333,26.6025,4,115.714285714286
"49","2018-27",2018-07-02,9250,19.6,33.6,26.4428571428571,80.1428571428571,3,43.8,4,118.571428571429
"50","2018-28",2018-07-09,8975,21,33.2,26.9285714285714,78.5714285714286,5.7536,38,4,141.428571428571
"51","2018-29",2018-07-16,8675,21.4,33.2,27.1,78.4285714285714,10.9722,46.7,5,67.1428571428571
"52","2018-30",2018-07-23,8675,21.4,33.6,27.0142857142857,79.5714285714286,4.00431666666667,39.3,4,152.857142857143
"53","2018-31",2018-07-30,8675,20.6,33.8,26.4142857142857,76.8571428571429,3.86363333333333,44.6606833333333,4,122.857142857143
"54","2018-32",2018-08-06,8675,19.8,33.4,26.9857142857143,76,3.13305,38.8,4,199.428571428571
"55","2018-33",2018-08-13,8950,21,33.6,26.8857142857143,78.7142857142857,8.70866666666667,42.4,6,68.5714285714286
"56","2018-34",2018-08-20,9075,21.6,33.8,27.8285714285714,78.4285714285714,2.14448333333333,53.2742,4,70
"57","2018-35",2018-08-27,9125,23,34,27.5,79.1428571428571,16.9236166666667,51.3284,5,118.571428571429
"58","2018-36",2018-09-03,9125,22.4,34.6,27.6428571428571,76.4285714285714,12.9585666666667,42.7,5,158.571428571429
"59","2018-37",2018-09-10,9250,21.2,34.6,27.5571428571429,73,0.913583333333333,54.8,7,171.428571428571
"60","2018-38",2018-09-17,9250,21.2,35,27.6,76.4285714285714,9.1219,36.5,6,154.285714285714
"61","2018-39",2018-09-24,9250,21.8,34.6,27.9714285714286,75.1428571428571,1.2026,57.7,4,35.7142857142857
"62","2018-40",2018-10-01,9250,23.6,34.6,28.5857142857143,76.4285714285714,2.72926666666667,48.1,6,74.2857142857143
"63","2018-41",2018-10-08,9250,22.4,35.2,28.8,72.4285714285714,4.84121666666667,49,4,71.4285714285714
"64","2018-42",2018-10-15,9250,23.2,35.6,28.3857142857143,76.1428571428571,71.5474666666667,29.1,5,154.285714285714
"65","2018-43",2018-10-22,9250,23.6,35.4,28.5285714285714,77.4285714285714,15.7142666666667,44.6,5,124.285714285714
"66","2018-44",2018-10-29,9250,23.4,34.6,27.8571428571429,82.5714285714286,60.4854166666667,31.8,5,122.857142857143
"67","2018-45",2018-11-05,9250,24,34.4,27.2857142857143,85.7142857142857,51.1,21.2,6,208.571428571429
"68","2018-46",2018-11-12,9250,23.8,36.4,28.3571428571429,77.4285714285714,27.15755,27.2,6,150
"69","2018-47",2018-11-19,9250,23.8,34.8,27.9714285714286,80.4285714285714,54.7038333333333,33,8,210
"70","2018-48",2018-11-26,9250,23,33.8,27.4857142857143,83.8571428571429,31.9488,26.4,6,170
"71","2018-49",2018-12-03,9100,23.6,34,27.4285714285714,83.5714285714286,21.6682333333333,24.9910333333333,4,121.428571428571
"72","2018-50",2018-12-10,9000,23.6,34.6,27.0857142857143,84.5714285714286,48.7974833333333,26.2,10,248.571428571429
"73","2018-51",2018-12-17,9000,23.4179666666667,34.8,27.8857142857143,77.5714285714286,32.1763166666667,44.33605,7,270
"74","2018-52",2018-12-24,9075,22.6,31.6,26.7571428571429,83.4285714285714,87.55475,20.7,8,241.428571428571
"75","2019-1",2018-12-31,9250,22.2,34.2,27.5285714285714,80.2857142857143,120.533533333333,44.6,7,231.428571428571
"76","2019-2",2019-01-07,9250,23.8,34,28.1,83.2857142857143,42.3330166666667,54.2,4,192.857142857143
"77","2019-3",2019-01-14,9250,24,33.6,27.6714285714286,82.2857142857143,47.6,12.6,9,277.142857142857
"78","2019-4",2019-01-21,9250,23.4,33.4,27.3428571428571,85.8571428571429,132.476266666667,23,7,190
"79","2019-5",2019-01-28,9225,23.6,33.4,28,81.1428571428571,22.8829,31.2,5,315.714285714286
"80","2019-6",2019-02-04,9125,24,33.4,27.8571428571429,81.2857142857143,37.5858166666667,43.3,7,240
"81","2019-7",2019-02-11,9125,23.6,34.2,27.5428571428571,84,124.757383333333,35.1,6,237.142857142857
"82","2019-8",2019-02-18,9125,23.6,33.4,27.7142857142857,83.4285714285714,17.7399666666667,37,5,117.142857142857
"83","2019-9",2019-02-25,9075,24.2,33.4,27.6714285714286,84.8571428571429,24.11575,36.2,5,198.571428571429
"84","2019-10",2019-03-04,9075,22.2,33,26.8571428571429,85.1428571428571,64.4689166666667,25.4,4,158.571428571429
"85","2019-11",2019-03-11,8900,22.6,33.8,26.9428571428571,82.7142857142857,63.6,23.1,8,197.142857142857
"86","2019-12",2019-03-18,8900,23.4,32.8,27.4428571428571,81.8571428571429,64.2,33.5,5,224.285714285714
"87","2019-13",2019-03-25,8900,23.4,34.8,27.8571428571429,81.1428571428571,16.47045,40.6,4,251.428571428571
"88","2019-14",2019-04-01,8875,23.4,34,27.9857142857143,80.8571428571429,16.31125,52.1,7,161.428571428571
"89","2019-15",2019-04-08,8875,24,34.4,28.4,80.1428571428571,7.36031666666667,46.7,8,158.571428571429
"90","2019-16",2019-04-15,8625,23.6,34,27.2428571428571,86,77,39,6,120
"91","2019-17",2019-04-22,8625,24,34.2,27.7142857142857,84.2857142857143,33.3083,23.8,5,80
"92","2019-18",2019-04-29,8625,23.6,34.4,27.9714285714286,81.5714285714286,39.8101,40.9,5,125.714285714286
"93","2019-19",2019-05-06,8625,23,33.6,27.8285714285714,82.2857142857143,27.2071333333333,38.6,6,120
"94","2019-20",2019-05-13,8625,24,33.4,28.2,79.4285714285714,19.0880833333333,42.8,6,114.285714285714
"95","2019-21",2019-05-20,8625,24,33.8,28.3571428571429,78.2857142857143,5.3,45.4,8,34.2857142857143
"96","2019-22",2019-05-27,8625,24,34.4,28.3428571428571,78.5714285714286,45.78055,46.4,4,131.428571428571
"97","2019-23",2019-06-03,8625,23,34,27.7142857142857,80.2857142857143,3.6,32.7,5,98.5714285714286
"98","2019-24",2019-06-10,8625,23,34,28.3857142857143,80,2.8,44.7,4,185.714285714286
"99","2019-25",2019-06-17,8625,22,33.8,27.3428571428571,75.8571428571429,3.4,39.9,5,47.1428571428571
"100","2019-26",2019-06-24,8625,21,33.6,26.9571428571429,77.2857142857143,0.2,40.4,4,247.142857142857
"101","2019-27",2019-07-01,8625,22,33.6,27.5,76.8571428571429,7.9865,48.8,7,51.4285714285714
"102","2019-28",2019-07-08,8625,22,33.6,27.1285714285714,76.7142857142857,8.4,49.2,6,42.8571428571429
"103","2019-29",2019-07-15,8625,21,33.8,26.9714285714286,73,0,45.8,5,37.1428571428571
"104","2019-30",2019-07-22,8625,22,34,27.2714285714286,74,0,64.9,4,78.5714285714286
"105","2019-31",2019-07-29,8625,22,34.1,27.4285714285714,72.5714285714286,2.54221666666667,46.8,6,122.857142857143
"106","2019-32",2019-08-05,8625,20,33,26.4285714285714,73.1428571428571,0,52,4,115.714285714286
"107","2019-33",2019-08-12,8625,21,33.2,27.3428571428571,75.8571428571429,0,45.9,5,178.571428571429
"108","2019-34",2019-08-19,8625,21,34.6,27.0285714285714,74.2857142857143,5.04295,58.9,8,38.5714285714286
"109","2019-35",2019-08-26,8625,22,34,27.1,75.8571428571429,9.89435,50.1,5,161.428571428571
"110","2019-36",2019-09-02,8625,22,34,27.4285714285714,75.2857142857143,0,48.9,4,85.7142857142857
"111","2019-37",2019-09-09,8625,20,34.8,26.8857142857143,70.4285714285714,0,57.4,6,114.285714285714
"112","2019-38",2019-09-16,8625,21,34.4,27.8571428571429,73,0,51.7,6,154.285714285714
"113","2019-39",2019-09-23,8625,23,34.8,28.4571428571429,72,0,59.1,6,78.5714285714286
"114","2019-40",2019-09-30,8625,22,36.1,28.3714285714286,69.2857142857143,0,58.2,4,68.5714285714286
"115","2019-41",2019-10-07,8625,23,36,28.3714285714286,72.7142857142857,11.2,49.5,6,257.142857142857
"116","2019-42",2019-10-14,8625,23,35.2,28.8142857142857,73,0,45.7,6,70
"117","2019-43",2019-10-21,8625,23,37.4,29.2142857142857,68.1428571428571,1.09715,64.5,5,78.5714285714286
